Unnamed: 0,rank,state,state_code,2020_census,percent_of_total,elect_votes_by_percent,new_vote_by_min_pop
0,1,California,CA,39538223,0.1193,64.0,69.0
1,2,Texas,TX,29145505,0.0879,47.0,51.0
2,3,Florida,FL,21538187,0.065,35.0,37.0
3,4,New York,NY,20201249,0.0609,33.0,35.0
4,5,Pennsylvania,PA,13002700,0.0392,21.0,23.0
5,6,Illinois,IL,12812508,0.0387,21.0,22.0
6,7,Ohio,OH,11799448,0.0356,19.0,20.0
7,8,Georgia,GA,10711908,0.0323,17.0,19.0
8,9,North Carolina,NC,10439388,0.0315,17.0,18.0
9,10,Michigan,MI,10077331,0.0304,16.0,17.0
10,11,New Jersey,NJ,9288994,0.028,15.0,16.0
11,12,Virginia,VA,8631393,0.026,14.0,15.0
12,13,Washington,WA,7705281,0.0232,12.0,13.0
13,14,Arizona,AZ,7151502,0.0216,12.0,12.0
14,15,Massachusetts,MA,7029917,0.0212,11.0,12.0
15,16,Tennessee,TN,6910840,0.0209,11.0,12.0
16,17,Indiana,IN,6785528,0.0205,11.0,12.0
17,18,Maryland,MD,6177224,0.0186,10.0,11.0
18,19,Missouri,MO,6154913,0.0186,10.0,11.0
19,20,Wisconsin,WI,5893718,0.0178,10.0,10.0
20,21,Colorado,CO,5773714,0.0174,9.0,10.0
21,22,Minnesota,MN,5706494,0.0172,9.0,10.0
22,23,South Carolina,SC,5118425,0.0154,8.0,9.0
23,24,Alabama,AL,5024279,0.0152,8.0,9.0
24,25,Louisiana,LA,4657757,0.0141,8.0,8.0
25,26,Kentucky,KY,4505836,0.0136,7.0,8.0
26,27,Oregon,OR,4237256,0.0128,7.0,7.0
27,28,Oklahoma,OK,3959353,0.0119,6.0,7.0
28,29,Connecticut,CT,3605944,0.0109,6.0,6.0
29,30,Utah,UT,3271616,0.0099,5.0,6.0
30,31,Iowa,IA,3190369,0.0096,5.0,6.0
31,32,Nevada,NV,3104614,0.0094,5.0,5.0
32,33,Arkansas,AR,3011524,0.0091,5.0,5.0
33,34,Mississippi,MS,2961279,0.0089,5.0,5.0
34,35,Kansas,KS,2937880,0.0089,5.0,5.0
35,36,New Mexico,NM,2117522,0.0064,3.0,4.0
36,37,Nebraska,NE,1961504,0.0059,3.0,3.0
37,38,Idaho,ID,1839106,0.0055,3.0,3.0
38,39,West Virginia,WV,1793716,0.0054,3.0,3.0
39,40,Hawaii,HI,1455271,0.0044,2.0,3.0
40,41,New Hampshire,NH,1377529,0.0042,2.0,2.0
41,42,Maine,ME,1362359,0.0041,2.0,2.0
42,43,Rhode Island,RI,1097379,0.0033,2.0,2.0
43,44,Montana,MT,1084225,0.0033,2.0,2.0
44,45,Delaware,DE,989948,0.003,2.0,2.0
45,46,South Dakota,SD,886667,0.0027,1.0,2.0
46,47,North Dakota,ND,779094,0.0024,1.0,1.0
47,48,Alaska,AK,733391,0.0022,1.0,1.0
48,49,DC,DC,689545,0.0021,1.0,1.0
49,50,Vermont,VT,643077,0.0019,1.0,1.0
50,51,Wyoming,WY,576851,0.0017,1.0,1.0
